,FOREST_KEY,stationID,measure_name,time,measure_value::double,measure_value::bigint
0,1689512883895,aa-2-86-99,ic_score,2023-07-16 13:08:25.580000000,2.836842105263158,
1,1689512883895,aa-2-86-99,discrepancy_gas_new,2023-07-16 13:08:25.580000000,0.0,
2,1689512883895,aa-2-86-99,PM4P0,2023-07-16 13:08:25.579000000,1.0E-7,
3,1689512883895,aa-2-86-99,discrepancy_particle,2023-07-16 13:08:25.579000000,0.01601699844292881,
4,1689512902578,aa-59-38-63,PM4P0,2023-07-16 13:08:25.497000000,1.0000001,
5,1689512902578,aa-59-38-63,discrepancy_gas_new,2023-07-16 13:08:25.497000000,0.0,
6,1689512902578,aa-59-38-63,ic_score,2023-07-16 13:08:25.497000000,0.0,
7,1689512902578,aa-59-38-63,discrepancy_particle,2023-07-16 13:08:25.497000000,-3.2365969423509E-4,
8,1689512902758,00-2f-2f-11,ic_score,2023-07-16 13:08:25.394000000,0.0,
9,1689512902758,00-2f-2f-11,PM4P0,2023-07-16 13:08:25.394000000,2.000001,
10,1689512902758,00-2f-2f-11,discrepancy_particle,2023-07-16 13:08:25.394000000,0.02149919763852992,
11,1689512902758,00-2f-2f-11,discrepancy_gas_new,2023-07-16 13:08:25.394000000,0.0,
12,1689512903293,aa-22-22-84,ic_score,2023-07-16 13:08:25.328000000,0.0,
13,1689512903293,aa-22-22-84,discrepancy_gas_new,2023-07-16 13:08:25.327000000,0.0,
14,1689512903293,aa-22-22-84,discrepancy_particle,2023-07-16 13:08:25.327000000,0.00999330770827811,
15,1689512903293,aa-22-22-84,PM4P0,2023-07-16 13:08:25.327000000,1.0E-7,
16,1689512902850,00-2f-2f-11,ic_score,2023-07-16 13:08:25.319000000,0.0,
17,1689512902850,00-2f-2f-11,discrepancy_gas_new,2023-07-16 13:08:25.318000000,0.0,
18,1689512902850,00-2f-2f-11,PM4P0,2023-07-16 13:08:25.318000000,2.000001,
19,1689512902850,00-2f-2f-11,discrepancy_particle,2023-07-16 13:08:25.318000000,0.02149919763852992,
20,1689512901808,aa-22-21-68,ic_score,2023-07-16 13:08:25.047000000,0.0,
21,1689512903349,aa-22-22-04,ic_score,2023-07-16 13:08:25.035000000,0.0,
22,1689512903349,aa-22-22-04,discrepancy_particle,2023-07-16 13:08:25.034000000,0.014494542601241278,
23,1689512903349,aa-22-22-04,discrepancy_gas_new,2023-07-16 13:08:25.034000000,0.0,
24,1689512903349,aa-22-22-04,PM4P0,2023-07-16 13:08:25.034000000,10.0000001,
25,1689512901808,aa-22-21-68,PM4P0,2023-07-16 13:08:25.030000000,4.0000001,
26,1689512901808,aa-22-21-68,discrepancy_gas_new,2023-07-16 13:08:25.030000000,0.0,
27,1689512901808,aa-22-21-68,discrepancy_particle,2023-07-16 13:08:25.030000000,0.06689661617308573,
28,1689512902254,00-27-0e-0c,discrepancy_particle,2023-07-16 13:08:24.836000000,0.00957346472135967,
29,1689512902254,00-27-0e-0c,PM4P0,2023-07-16 13:08:24.836000000,2.000001,
30,1689512902254,00-27-0e-0c,ic_score,2023-07-16 13:08:24.836000000,0.0,
31,1689512902254,00-27-0e-0c,discrepancy_gas_new,2023-07-16 13:08:24.836000000,0.0,
32,1689512900989,aa-31-90-28,discrepancy_gas_new,2023-07-16 13:08:24.622000000,0.0,
33,1689512900989,aa-31-90-28,discrepancy_particle,2023-07-16 13:08:24.622000000,0.010639135596886007,
